strategy,metric,value
MaRsiStrategy_Slow,total_trades,22.0
MaRsiStrategy_Slow,won_trades,13.0
MaRsiStrategy_Slow,lost_trades,9.0
MaRsiStrategy_Slow,win_rate,0.5909090909090909
MaRsiStrategy_Slow,won_pnl_average,416023.9300985408
MaRsiStrategy_Slow,won_pnl_max,1202320.4858543095
MaRsiStrategy_Slow,lost_pnl_average,-611885.8015404815
MaRsiStrategy_Slow,lost_pnl_max,-1509329.9061992646
MaRsiStrategy_Fast,total_trades,43.0
MaRsiStrategy_Fast,won_trades,27.0
MaRsiStrategy_Fast,lost_trades,16.0
MaRsiStrategy_Fast,win_rate,0.627906976744186
MaRsiStrategy_Fast,won_pnl_average,356663.10317358235
MaRsiStrategy_Fast,won_pnl_max,2105567.6536546163
MaRsiStrategy_Fast,lost_pnl_average,-446547.930979146
MaRsiStrategy_Fast,lost_pnl_max,-2197114.0547232055
MaRsiStrategy_Aggressive,total_trades,61.0
MaRsiStrategy_Aggressive,won_trades,34.0
MaRsiStrategy_Aggressive,lost_trades,27.0
MaRsiStrategy_Aggressive,win_rate,0.5573770491803278
MaRsiStrategy_Aggressive,won_pnl_average,393359.4022381831
MaRsiStrategy_Aggressive,won_pnl_max,1957343.210501877
MaRsiStrategy_Aggressive,lost_pnl_average,-383853.3118005841
MaRsiStrategy_Aggressive,lost_pnl_max,-1066516.6274447022
