strategy,metric,value
MaRsiStrategy_Slow,total_trades,31.0
MaRsiStrategy_Slow,won_trades,16.0
MaRsiStrategy_Slow,lost_trades,15.0
MaRsiStrategy_Slow,win_rate,0.5161290322580645
MaRsiStrategy_Slow,won_pnl_average,498770.7228789897
MaRsiStrategy_Slow,won_pnl_max,1854257.334560898
MaRsiStrategy_Slow,lost_pnl_average,-254443.15062578098
MaRsiStrategy_Slow,lost_pnl_max,-581134.0384006805
MaRsiStrategy_Fast,total_trades,39.0
MaRsiStrategy_Fast,won_trades,19.0
MaRsiStrategy_Fast,lost_trades,20.0
MaRsiStrategy_Fast,win_rate,0.48717948717948717
MaRsiStrategy_Fast,won_pnl_average,488245.56212615664
MaRsiStrategy_Fast,won_pnl_max,2219296.0025474397
MaRsiStrategy_Fast,lost_pnl_average,-244729.5881719798
MaRsiStrategy_Fast,lost_pnl_max,-649128.464096695
MaRsiStrategy_Aggressive,total_trades,55.0
MaRsiStrategy_Aggressive,won_trades,27.0
MaRsiStrategy_Aggressive,lost_trades,28.0
MaRsiStrategy_Aggressive,win_rate,0.4909090909090909
MaRsiStrategy_Aggressive,won_pnl_average,400059.84736603993
MaRsiStrategy_Aggressive,won_pnl_max,2427880.411854904
MaRsiStrategy_Aggressive,lost_pnl_average,-245127.91134391734
MaRsiStrategy_Aggressive,lost_pnl_max,-723627.8563310852
