strategy,metric,value
MaRsiStrategy_Slow,total_trades,41.0
MaRsiStrategy_Slow,won_trades,25.0
MaRsiStrategy_Slow,lost_trades,16.0
MaRsiStrategy_Slow,win_rate,0.6097560975609756
MaRsiStrategy_Slow,won_pnl_average,409683.1534492599
MaRsiStrategy_Slow,won_pnl_max,1535249.22157689
MaRsiStrategy_Slow,lost_pnl_average,-351741.116395739
MaRsiStrategy_Slow,lost_pnl_max,-1210696.3022184526
MaRsiStrategy_Fast,total_trades,50.0
MaRsiStrategy_Fast,won_trades,29.0
MaRsiStrategy_Fast,lost_trades,21.0
MaRsiStrategy_Fast,win_rate,0.58
MaRsiStrategy_Fast,won_pnl_average,376701.5847789598
MaRsiStrategy_Fast,won_pnl_max,2188330.7700907444
MaRsiStrategy_Fast,lost_pnl_average,-380351.3226765902
MaRsiStrategy_Fast,lost_pnl_max,-1243560.3565558242
MaRsiStrategy_Aggressive,total_trades,63.0
MaRsiStrategy_Aggressive,won_trades,37.0
MaRsiStrategy_Aggressive,lost_trades,25.0
MaRsiStrategy_Aggressive,win_rate,0.5873015873015873
MaRsiStrategy_Aggressive,won_pnl_average,485732.3980775306
MaRsiStrategy_Aggressive,won_pnl_max,1598420.285645903
MaRsiStrategy_Aggressive,lost_pnl_average,-408953.6683568412
MaRsiStrategy_Aggressive,lost_pnl_max,-1049438.6978586197
